Time - Plot 0,Amplitude - Plot 0
794582,0.00454559
794583,0.00454559
794584,0.00581876
794585,0.0109114
794586,0.0083651
794587,0.0147309
794588,0.0109114
794589,0.0134578
794590,0.0147309
794591,0.0160041
794592,0.0147309
794593,0.0147309
794594,0.0147309
794595,0.0121846
794596,0.0121846
794597,0.0134578
794598,0.0083651
794599,0.0121846
794600,0.00963827
794601,0.0083651
794602,0.0083651
794603,0.00454559
794604,0.00581876
794605,0.00327242
794606,0.00454559
794607,0.000726075
794608,0.00327242
794609,-0.000547095
794610,-0.000547095
794611,0.000726075
794612,-0.000547095
794613,-0.000547095
794614,-0.000547095
794615,-0.00182027
794616,0.00199925
794617,0.00327242
794618,-0.000547095
794619,0.00199925
794620,0.000726075
794621,0.000726075
794622,0.00199925
794623,0.000726075
794624,0.00581876
794625,0.00199925
794626,0.00581876
794627,0.00709193
794628,0.0083651
794629,0.00709193
794630,0.00963827
794631,0.00581876
794632,0.0083651
794633,0.00709193
794634,0.00709193
794635,0.00327242
794636,0.0083651
794637,0.00709193
794638,0.00709193
794639,0.00581876
794640,0.00709193
794641,0.0083651
794642,0.00454559
794643,0.00709193
794644,0.00454559
794645,0.00454559
794646,0.00454559
794647,0.00454559
794648,0.00454559
794649,0.00581876
794650,0.00581876
794651,0.00709193
794652,0.00454559
794653,0.0083651
794654,0.00581876
794655,0.00581876
794656,0.00709193
794657,0.00581876
794658,0.00963827
794659,0.00581876
794660,0.00581876
794661,0.00963827
794662,0.00581876
794663,0.0083651
794664,0.00709193
794665,0.00581876
794666,0.00581876
794667,0.00454559
794668,0.00327242
794669,0.00709193
794670,0.00327242
794671,0.00581876
794672,0.00327242
794673,0.00327242
794674,0.00199925
794675,-0.00182027
794676,0.000726075
794677,-0.00309344
794678,-0.00309344
794679,-0.00691295
794680,-0.00563978
794681,-0.00818612
794682,-0.00691295
794683,-0.00691295
794684,-0.00563978
794685,-0.00818612
794686,-0.00691295
794687,-0.00691295
794688,-0.00691295
794689,-0.00309344
794690,-0.00436661
794691,-0.000547095
794692,-0.00436661
794693,0.000726075
794694,0.00199925
794695,0.00327242
794696,0.00327242
794697,0.00581876
794698,0.00454559
794699,0.0083651
794700,0.00709193
794701,0.0083651
794702,0.00709193
794703,0.00709193
794704,0.00963827
794705,0.00963827
794706,0.00963827
794707,0.0109114
794708,0.0109114
794709,0.00963827
794710,0.0083651
794711,0.00709193
794712,0.00454559
794713,0.00454559
794714,0.000726075
794715,-0.000547095
794716,-0.00182027
794717,-0.00309344
794718,-0.00436661
794719,-0.00563978
794720,-0.00691295
794721,-0.00691295
794722,-0.00818612
794723,-0.0132788
794724,-0.0132788
794725,-0.0132788
794726,-0.014552
794727,-0.0158251
794728,-0.0158251
794729,-0.0170983
794730,-0.0158251
794731,-0.0120056
794732,-0.014552
794733,-0.0120056
794734,-0.0107325
794735,-0.00945929
794736,-0.00945929
794737,-0.00818612
794738,-0.00818612
794739,-0.00309344
794740,-0.00691295
794741,-0.00182027
794742,-0.00309344
794743,0.000726075
794744,0.000726075
794745,0.00199925
794746,0.00454559
794747,0.00454559
794748,0.00581876
794749,0.00454559
794750,0.0083651
794751,0.00709193
794752,0.00709193
794753,0.00709193
794754,0.00581876
794755,0.00327242
794756,0.00581876
794757,0.00327242
794758,0.00709193
794759,0.00199925
794760,0.00327242
794761,0.00199925
794762,0.00327242
794763,0.00199925
794764,0.000726075
794765,-0.000547095
794766,0.00327242
794767,-0.00182027
794768,-0.00182027
794769,-0.000547095
794770,-0.00309344
794771,-0.00436661
794772,-0.00563978
794773,-0.00691295
794774,-0.00691295
794775,-0.00691295
794776,-0.00818612
794777,-0.00563978
794778,-0.00945929
794779,-0.00691295
794780,-0.00691295
794781,-0.00818612
794782,-0.00818612
794783,-0.00818612
794784,-0.00818612
794785,-0.0120056
794786,-0.00818612
794787,-0.0107325
794788,-0.00691295
794789,-0.00818612
794790,-0.00691295
794791,-0.00563978
794792,-0.00691295
794793,-0.00563978
794794,-0.00436661
794795,-0.00309344
794796,-0.00182027
794797,-0.00436661
794798,-0.00182027
794799,-0.00309344
794800,-0.00309344
794801,-0.00182027
794802,-0.000547095
794803,-0.000547095
794804,-0.000547095
794805,0.00327242
794806,0.000726075
794807,0.00454559
794808,0.00327242
794809,0.00199925
794810,0.00327242
794811,0.00454559
794812,0.00199925
794813,0.00199925
794814,0.00454559
794815,0.000726075
794816,0.00327242
794817,-0.000547095
794818,0.00199925
794819,0.00199925
794820,-0.000547095
794821,-0.000547095
794822,-0.00182027
794823,-0.00309344
794824,-0.00309344
794825,-0.00563978
794826,-0.00309344
794827,-0.00563978
794828,-0.00563978
794829,-0.00691295
794830,-0.00563978
794831,-0.00563978
794832,-0.00691295
794833,-0.00818612
794834,-0.00436661
794835,-0.00818612
794836,-0.00691295
794837,-0.00691295
794838,-0.00563978
794839,-0.00563978
794840,-0.00691295
794841,-0.00182027
794842,-0.00436661
794843,-0.000547095
794844,-0.00436661
794845,-0.000547095
794846,0.000726075
794847,0.000726075
794848,0.00199925
794849,0.00199925
794850,0.00327242
794851,0.000726075
794852,0.00327242
794853,0.00581876
794854,0.00327242
794855,0.00709193
794856,0.00709193
794857,0.00709193
794858,0.0083651
794859,0.00454559
794860,0.0083651
794861,0.00327242
794862,0.00581876
794863,0.00199925
794864,0.00709193
794865,0.00327242
794866,0.00327242
794867,0.00454559
794868,0.00199925
794869,0.00454559
794870,0.00327242
794871,0.000726075
794872,0.00327242
794873,-0.000547095
794874,-0.000547095
794875,-0.000547095
794876,0.000726075
794877,-0.000547095
794878,0.000726075
794879,0.00454559
794880,0.000726075
794881,0.00327242
794882,0.00454559
794883,0.00327242
794884,0.00454559
794885,0.00327242
794886,0.00454559
794887,0.00709193
794888,0.00454559
794889,0.00709193
794890,0.0083651
794891,0.0083651
794892,0.00709193
794893,0.00454559
794894,0.0083651
794895,0.00454559
794896,0.00581876
794897,0.00454559
794898,0.00581876
794899,0.000726075
794900,0.00454559
794901,0.00454559
794902,0.00454559
794903,0.000726075
794904,0.00454559
794905,0.000726075
794906,0.000726075
794907,0.000726075
794908,0.00199925
794909,0.000726075
794910,0.000726075
794911,0.00581876
794912,0.000726075
794913,0.00454559
794914,0.00581876
794915,0.00454559
794916,0.00454559
794917,0.00581876
794918,0.00709193
794919,0.00709193
794920,0.0083651
794921,0.00963827
794922,0.00709193
794923,0.00963827
794924,0.0109114
794925,0.0121846
794926,0.00963827
794927,0.00709193
794928,0.00963827
794929,0.00709193
794930,0.00709193
794931,0.00709193
794932,0.00709193
794933,0.00581876
794934,0.00709193
794935,0.00454559
794936,0.00709193
794937,0.00199925
794938,0.00581876
794939,0.00199925
794940,0.000726075
794941,0.000726075
794942,0.000726075
794943,0.000726075
794944,0.000726075
794945,0.00327242
794946,0.000726075
794947,0.00327242
794948,0.00327242
794949,0.00327242
794950,0.00327242
794951,0.00327242
794952,0.00454559
794953,0.00709193
794954,0.00327242
794955,0.00709193
794956,0.00327242
794957,0.00709193
794958,0.00581876
794959,0.00581876
794960,0.00581876
794961,0.00454559
794962,0.00581876
794963,0.00327242
794964,0.00454559
794965,0.00199925
794966,0.00581876
794967,0.00327242
794968,0.00199925
794969,0.00327242
794970,0.00327242
794971,0.000726075
794972,0.00454559
794973,-0.000547095
794974,0.00454559
794975,0.00199925
794976,0.00454559
794977,0.000726075
794978,0.00199925
794979,0.000726075
794980,0.000726075
794981,0.00581876
794982,0.00199925
794983,0.00581876
794984,0.00327242
794985,0.00581876
794986,0.00709193
794987,0.00709193
794988,0.00709193
794989,0.00581876
794990,0.00963827
794991,0.00581876
794992,0.0083651
794993,0.00581876
794994,0.0083651
794995,0.0083651
794996,0.0083651
794997,0.00709193
794998,0.00454559
794999,0.00709193
